* Measurement data measured by REW V5.19
* Source: ?ó??? (Realtek High Definition Audio, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2019-7-30 12:56:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: 七月 30 12:56:35
* Smoothing: 1/6 octave
* Frequency Step: 0.36621654 Hz
* Start Frequency: 1.8310547 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.831, 27.634, -142.748
2.197, 27.093, -142.275
2.563, 26.176, -143.117
2.930, 26.687, -148.152
3.296, 28.561, -157.619
3.662, 30.251, -168.479
4.028, 31.520, -176.042
4.395, 32.792, -178.921
4.761, 34.289, -179.197
5.127, 35.950, -178.963
5.493, 37.689, -179.301
5.859, 39.386, 179.150
6.226, 40.879, 176.145
6.592, 42.069, 172.111
6.958, 42.969, 168.021
7.324, 43.688, 164.775
7.691, 44.361, 162.659
8.057, 45.090, 161.316
8.423, 45.895, 160.105
8.789, 46.724, 158.483
9.155, 47.490, 156.228
9.522, 48.128, 153.473
9.888, 48.616, 150.567
10.254, 48.979, 147.835
10.620, 49.268, 145.408
10.986, 49.532, 143.213
11.353, 49.796, 141.091
11.719, 50.057, 138.926
12.085, 50.303, 136.707
12.451, 50.529, 134.497
12.818, 50.737, 132.374
13.184, 50.938, 130.376
13.550, 51.144, 128.494
13.916, 51.358, 126.682
14.282, 51.576, 124.892
14.649, 51.792, 123.097
15.015, 52.001, 121.298
15.381, 52.200, 119.515
15.747, 52.389, 117.772
16.113, 52.569, 116.084
16.480, 52.745, 114.450
16.846, 52.917, 112.861
17.212, 53.086, 111.305
17.578, 53.250, 109.773
17.945, 53.406, 108.266
18.311, 53.554, 106.790
18.677, 53.693, 105.353
19.043, 53.824, 103.964
19.409, 53.948, 102.626
19.776, 54.067, 101.336
20.142, 54.184, 100.089
20.508, 54.298, 98.875
20.874, 54.412, 97.685
21.241, 54.524, 96.512
21.607, 54.636, 95.352
21.973, 54.746, 94.202
22.339, 54.854, 93.062
22.705, 54.959, 91.931
23.072, 55.062, 90.812
23.438, 55.161, 89.705
23.804, 55.258, 88.612
24.170, 55.350, 87.533
24.536, 55.440, 86.468
24.903, 55.527, 85.415
25.269, 55.611, 84.373
25.635, 55.691, 83.340
26.001, 55.769, 82.316
26.368, 55.842, 81.303
26.734, 55.913, 80.304
27.100, 55.980, 79.323
27.466, 56.045, 78.361
27.832, 56.109, 77.420
28.199, 56.172, 76.497
28.565, 56.234, 75.589
28.931, 56.297, 74.692
29.297, 56.359, 73.802
29.664, 56.421, 72.916
30.030, 56.482, 72.034
30.396, 56.542, 71.157
30.762, 56.601, 70.285
31.128, 56.658, 69.421
31.495, 56.714, 68.566
31.861, 56.768, 67.722
32.227, 56.820, 66.889
32.593, 56.871, 66.066
32.959, 56.920, 65.255
33.326, 56.967, 64.454
33.692, 57.013, 63.665
34.058, 57.057, 62.887
34.424, 57.099, 62.121
34.791, 57.140, 61.368
35.157, 57.179, 60.628
35.523, 57.217, 59.902
35.889, 57.254, 59.189
36.255, 57.290, 58.488
36.622, 57.324, 57.799
36.988, 57.359, 57.121
37.354, 57.392, 56.453
37.720, 57.425, 55.791
38.086, 57.456, 55.136
38.453, 57.488, 54.487
38.819, 57.518, 53.841
39.185, 57.547, 53.198
39.551, 57.575, 52.560
39.918, 57.601, 51.924
40.284, 57.627, 51.293
40.650, 57.651, 50.666
41.016, 57.675, 50.044
41.382, 57.698, 49.427
41.749, 57.719, 48.816
42.115, 57.741, 48.211
42.481, 57.761, 47.613
42.847, 57.781, 47.021
43.214, 57.801, 46.436
43.580, 57.820, 45.857
43.946, 57.838, 45.285
44.312, 57.856, 44.720
44.678, 57.874, 44.162
45.045, 57.891, 43.611
45.411, 57.907, 43.066
45.777, 57.922, 42.528
46.143, 57.937, 41.997
46.509, 57.951, 41.473
46.876, 57.965, 40.955
47.242, 57.978, 40.444
47.608, 57.990, 39.939
47.974, 58.001, 39.441
48.341, 58.012, 38.949
48.707, 58.022, 38.464
49.073, 58.032, 37.984
49.439, 58.041, 37.510
49.805, 58.050, 37.042
50.172, 58.058, 36.578
50.538, 58.067, 36.119
50.904, 58.075, 35.664
51.270, 58.082, 35.213
51.637, 58.090, 34.765
52.003, 58.097, 34.321
52.369, 58.103, 33.879
52.735, 58.109, 33.440
53.101, 58.114, 33.004
53.468, 58.119, 32.570
53.834, 58.124, 32.139
54.200, 58.128, 31.711
54.566, 58.131, 31.286
54.932, 58.134, 30.864
55.299, 58.136, 30.445
55.665, 58.138, 30.030
56.031, 58.139, 29.620
56.397, 58.140, 29.213
56.764, 58.141, 28.811
57.130, 58.141, 28.414
57.496, 58.141, 28.021
57.862, 58.141, 27.634
58.228, 58.140, 27.252
58.595, 58.140, 26.874
58.961, 58.139, 26.502
59.327, 58.139, 26.135
59.693, 58.138, 25.772
60.059, 58.137, 25.413
60.426, 58.136, 25.059
60.792, 58.135, 24.709
61.158, 58.134, 24.363
61.524, 58.134, 24.021
61.891, 58.133, 23.682
62.257, 58.132, 23.345
62.623, 58.131, 23.012
62.989, 58.129, 22.682
63.355, 58.128, 22.354
63.722, 58.127, 22.028
64.088, 58.125, 21.705
64.454, 58.123, 21.383
64.820, 58.121, 21.063
65.187, 58.119, 20.745
65.553, 58.116, 20.429
65.919, 58.113, 20.114
66.285, 58.110, 19.801
66.651, 58.106, 19.489
67.018, 58.102, 19.179
67.384, 58.098, 18.871
67.750, 58.093, 18.565
68.116, 58.088, 18.261
68.482, 58.083, 17.958
68.849, 58.077, 17.658
69.215, 58.071, 17.361
69.581, 58.065, 17.066
69.947, 58.058, 16.773
70.314, 58.051, 16.484
70.680, 58.044, 16.196
71.046, 58.037, 15.912
71.412, 58.029, 15.630
71.778, 58.022, 15.352
72.145, 58.014, 15.075
72.511, 58.006, 14.802
72.877, 57.999, 14.531
73.243, 57.991, 14.263
73.609, 57.983, 13.997
73.976, 57.975, 13.734
74.342, 57.967, 13.474
74.708, 57.960, 13.216
75.074, 57.952, 12.960
75.441, 57.944, 12.707
75.807, 57.936, 12.456
76.173, 57.929, 12.208
76.539, 57.921, 11.963
76.905, 57.913, 11.719
77.272, 57.905, 11.479
77.638, 57.898, 11.241
78.004, 57.890, 11.005
78.370, 57.882, 10.772
78.737, 57.874, 10.542
79.103, 57.866, 10.314
79.469, 57.858, 10.088
79.835, 57.850, 9.864
80.201, 57.842, 9.643
80.568, 57.834, 9.424
80.934, 57.826, 9.207
81.300, 57.818, 8.991
81.666, 57.809, 8.777
82.032, 57.801, 8.565
82.399, 57.793, 8.355
82.765, 57.784, 8.145
83.131, 57.776, 7.938
83.497, 57.767, 7.731
83.864, 57.758, 7.525
84.230, 57.750, 7.320
84.596, 57.741, 7.116
84.962, 57.732, 6.914
85.328, 57.723, 6.712
85.695, 57.713, 6.510
86.061, 57.704, 6.310
86.427, 57.694, 6.110
86.793, 57.684, 5.912
87.160, 57.675, 5.714
87.526, 57.664, 5.517
87.892, 57.654, 5.321
88.258, 57.643, 5.126
88.624, 57.633, 4.932
88.991, 57.622, 4.740
89.357, 57.611, 4.549
89.723, 57.599, 4.359
90.089, 57.588, 4.170
90.455, 57.576, 3.983
90.822, 57.565, 3.798
91.188, 57.553, 3.614
91.554, 57.541, 3.431
91.920, 57.529, 3.251
92.287, 57.517, 3.072
92.653, 57.505, 2.894
93.019, 57.493, 2.719
93.385, 57.480, 2.545
93.751, 57.468, 2.372
94.118, 57.456, 2.202
94.484, 57.444, 2.033
94.850, 57.432, 1.866
95.216, 57.419, 1.701
95.582, 57.407, 1.537
95.949, 57.395, 1.375
96.315, 57.383, 1.215
96.681, 57.370, 1.056
97.047, 57.358, 0.899
97.414, 57.346, 0.744
97.780, 57.334, 0.590
98.146, 57.322, 0.438
98.512, 57.310, 0.287
98.878, 57.297, 0.138
99.245, 57.285, -0.010
99.611, 57.273, -0.156
99.977, 57.261, -0.301
100.343, 57.249, -0.445
100.710, 57.237, -0.587
101.076, 57.225, -0.728
101.442, 57.212, -0.867
101.808, 57.200, -1.006
102.174, 57.188, -1.143
102.541, 57.176, -1.280
102.907, 57.164, -1.415
103.273, 57.152, -1.549
103.639, 57.140, -1.683
104.005, 57.128, -1.815
104.372, 57.116, -1.947
104.738, 57.104, -2.077
105.104, 57.092, -2.207
105.470, 57.080, -2.336
105.837, 57.068, -2.464
106.203, 57.056, -2.591
106.569, 57.044, -2.718
106.935, 57.032, -2.844
107.301, 57.020, -2.969
107.668, 57.008, -3.093
108.034, 56.996, -3.217
108.400, 56.985, -3.340
108.766, 56.973, -3.462
109.132, 56.961, -3.583
109.499, 56.949, -3.703
109.865, 56.937, -3.823
110.231, 56.925, -3.942
110.597, 56.913, -4.060
110.964, 56.901, -4.177
111.330, 56.889, -4.294
111.696, 56.877, -4.409
112.062, 56.866, -4.524
112.428, 56.854, -4.638
112.795, 56.842, -4.751
113.161, 56.830, -4.863
113.527, 56.818, -4.974
113.893, 56.807, -5.085
114.260, 56.795, -5.194
114.626, 56.784, -5.302
114.992, 56.772, -5.410
115.358, 56.760, -5.516
115.724, 56.749, -5.622
116.091, 56.737, -5.727
116.457, 56.726, -5.830
116.823, 56.715, -5.933
117.189, 56.703, -6.034
117.555, 56.692, -6.135
117.922, 56.681, -6.234
118.288, 56.669, -6.333
118.654, 56.658, -6.431
119.020, 56.647, -6.527
119.387, 56.636, -6.623
119.753, 56.624, -6.717
120.119, 56.613, -6.811
120.485, 56.602, -6.903
120.851, 56.590, -6.995
121.218, 56.579, -7.086
121.584, 56.567, -7.176
121.950, 56.556, -7.265
122.316, 56.544, -7.353
122.683, 56.533, -7.440
123.049, 56.521, -7.527
123.415, 56.509, -7.612
123.781, 56.497, -7.697
124.147, 56.485, -7.782
124.514, 56.473, -7.865
124.880, 56.461, -7.949
125.246, 56.449, -8.031
125.612, 56.437, -8.113
125.978, 56.425, -8.195
126.345, 56.413, -8.276
126.711, 56.400, -8.356
127.077, 56.388, -8.437
127.443, 56.375, -8.517
127.810, 56.363, -8.596
128.176, 56.350, -8.676
128.542, 56.338, -8.755
128.908, 56.325, -8.833
129.274, 56.313, -8.912
129.641, 56.300, -8.990
130.007, 56.287, -9.069
130.373, 56.274, -9.147
130.739, 56.262, -9.225
131.105, 56.249, -9.303
131.472, 56.236, -9.380
131.838, 56.224, -9.458
132.204, 56.211, -9.536
132.570, 56.198, -9.614
132.937, 56.186, -9.691
133.303, 56.173, -9.769
133.669, 56.161, -9.846
134.035, 56.148, -9.923
134.401, 56.136, -10.001
134.768, 56.123, -10.078
135.134, 56.111, -10.156
135.500, 56.099, -10.233
135.866, 56.087, -10.310
136.233, 56.074, -10.387
136.599, 56.062, -10.464
136.965, 56.050, -10.541
137.331, 56.038, -10.617
137.697, 56.026, -10.694
138.064, 56.015, -10.770
138.430, 56.003, -10.846
138.796, 55.991, -10.922
139.162, 55.980, -10.997
139.528, 55.968, -11.072
139.895, 55.956, -11.147
140.261, 55.945, -11.221
140.627, 55.933, -11.295
140.993, 55.922, -11.368
141.360, 55.911, -11.441
141.726, 55.899, -11.513
142.092, 55.888, -11.585
142.458, 55.877, -11.656
142.824, 55.865, -11.726
143.191, 55.854, -11.796
143.557, 55.843, -11.865
143.923, 55.831, -11.933
144.289, 55.820, -12.000
144.656, 55.809, -12.066
145.022, 55.797, -12.132
145.388, 55.786, -12.197
145.754, 55.775, -12.261
146.120, 55.763, -12.324
146.487, 55.752, -12.386
146.853, 55.740, -12.447
147.219, 55.729, -12.507
147.585, 55.717, -12.567
147.951, 55.705, -12.626
148.318, 55.693, -12.683
148.684, 55.682, -12.740
149.050, 55.670, -12.796
149.416, 55.658, -12.851
149.783, 55.646, -12.905
150.149, 55.634, -12.959
150.515, 55.622, -13.011
150.881, 55.610, -13.063
151.247, 55.597, -13.114
151.614, 55.585, -13.164
151.980, 55.573, -13.214
152.346, 55.560, -13.263
152.712, 55.548, -13.311
153.078, 55.535, -13.358
153.445, 55.523, -13.405
153.811, 55.510, -13.451
154.177, 55.498, -13.497
154.543, 55.485, -13.542
154.910, 55.472, -13.586
155.276, 55.460, -13.630
